Time,Open,High,Low,Close,Volume
1.50294E+12,4261.48,4349.99,4261.32,4349.99,82.088865
1.50296E+12,4333.32,4485.39,4333.32,4427.3,63.619882
1.50297E+12,4436.06,4485.39,4333.42,4352.34,174.562001
1.50299E+12,4352.33,4354.84,4200.74,4325.23,225.109716
1.503E+12,4307.56,4369.69,4258.56,4285.08,249.769913
1.50301E+12,4285.08,4340.62,4134.61,4292.39,276.193043
1.50303E+12,4292.39,4340.62,4234.43,4300.25,248.389029
1.50304E+12,4285,4371.52,4259.85,4340.31,196.140129
1.50306E+12,4320.52,4340.31,4193.7,4236.89,175.969384
1.50307E+12,4234.54,4297.75,4015.7,4136.28,193.64697
1.50309E+12,4135,4136.48,3938.77,4108.37,109.549709
1.5031E+12,4108.37,4184.69,4084.28,4138.55,108.510448
1.50312E+12,4138.5,4156,3933.21,4033.47,112.752079
1.50313E+12,4033.47,4082.25,3850,3957.6,77.256042
1.50314E+12,3945.12,4100,3928.89,3972.05,47.515578
1.50316E+12,4036.19,4103.92,3953.4,4076.12,25.925056
1.50317E+12,4088.71,4149.99,4051.47,4139.98,9.35056
1.50319E+12,4120.98,4139.98,4044,4094.62,6.611283
1.5032E+12,4094.62,4156.56,4081.19,4155.87,28.60391
1.50322E+12,4155.87,4211.08,4032.62,4106.53,36.019943
1.50323E+12,4106.53,4125.43,4063.35,4125,29.113266
1.50324E+12,4125,4185.94,4091.59,4164.6,169.995517
1.50326E+12,4161.59,4171.62,4069.13,4086.29,196.739103
1.50327E+12,4069.13,4119.62,4039,4084.76,220.838143
1.50329E+12,4079.26,4104.68,3953.4,4043.63,222.575129
1.5033E+12,4043.63,4088.12,4000.01,4023.11,78.878314
1.50332E+12,4023.11,4023.11,3911.79,4022,43.762796
1.50333E+12,4005.99,4042.11,3918.8,4027.05,24.46693
1.50335E+12,4027.05,4070.49,3950,4016,101.221748
1.50336E+12,4016,4016,3688.97,3862.39,114.685346
1.50337E+12,3863,3868.57,3400,3798.08,167.221519
1.50339E+12,3798.08,3920.31,3750.08,3866.48,221.731236
1.5034E+12,3866.48,3990.12,3786.81,3858.23,179.358421
1.50342E+12,3858.23,4104.82,3853.47,3984.24,159.535655
1.50343E+12,3984.5,4061.54,3944.03,4040,124.152681
1.50345E+12,4040,4127.99,4013.89,4100.41,159.658384
1.50346E+12,4084.54,4115.87,4035.32,4074.88,141.839603
1.50348E+12,4081.63,4242.32,4057,4237.99,135.024022
1.50349E+12,4205.98,4265.8,4150.65,4197.05,237.360569
1.5035E+12,4226.94,4259.58,4103.51,4117.07,174.637585
1.50352E+12,4136.48,4178.65,4069.8,4114.01,152.616402
1.50353E+12,4147,4204.55,4085.01,4113.58,123.52015
1.50355E+12,4113.58,4177.64,4090.39,4153.32,123.17946
1.50356E+12,4153.8,4250.94,4150,4202,171.486488
1.50358E+12,4211.78,4250.9,4136.33,4222,146.997342
1.50359E+12,4223.06,4250.77,4178.22,4216.07,111.579358
1.5036E+12,4216.1,4371.68,4193.17,4316.01,110.655955
1.50362E+12,4316.01,4370,4295.75,4312.69,141.104526
1.50363E+12,4312.69,4362,4267.5,4329,101.509543
1.50365E+12,4317.81,4361.28,4298.74,4361.27,74.43306
1.50366E+12,4361.27,4422.29,4261.13,4394.36,164.206656
1.50368E+12,4394.36,4453.91,4284.11,4307.17,52.39933
1.50369E+12,4326,4365,4247.48,4280.68,39.959625
1.50371E+12,4280.71,4315,4228.99,4297.94,41.638568
1.50372E+12,4297.94,4319.7,4252.44,4319.7,28.707288
1.50373E+12,4319.7,4319.7,4260.88,4288.72,36.153081
