Time,Open,High,Low,Close,Volume
1.50293E+12,4261.48,4485.39,4200.74,4285.08,795.150377
1.50301E+12,4285.08,4371.52,3938.77,4108.37,1199.888264
1.5031E+12,4108.37,4184.69,3850,4139.98,381.309763
1.50319E+12,4120.98,4211.08,4032.62,4086.29,467.083022
1.50327E+12,4069.13,4119.62,3911.79,4016,691.74306
1.50336E+12,4016,4104.82,3400,4040,966.684858
1.50345E+12,4040,4265.8,4013.89,4114.01,1001.136565
1.50353E+12,4147,4371.68,4085.01,4316.01,787.418753
1.50362E+12,4316.01,4453.91,4247.48,4280.68,573.61274
1.50371E+12,4280.71,4367,4212.41,4337.44,228.108068
1.50379E+12,4332.51,4400,4285.54,4310.01,350.692585
1.50388E+12,4310.01,4399.82,4124.54,4386.69,603.841616
1.50396E+12,4353.65,4625.85,4313.55,4587.48,603.545028
1.50405E+12,4564.52,4647.51,4416.01,4555.14,808.468771
1.50414E+12,4555.14,4745.42,4555.14,4724.89,556.956802
1.50422E+12,4689.89,4885.55,4654.88,4834.91,560.666366
1.50431E+12,4796.16,4939.19,4286.87,4472.14,929.148595
1.5044E+12,4508.5,4714.76,4298.33,4509.08,691.216198
1.50448E+12,4505,4527.49,3972.51,4100.11,1394.644614
1.50457E+12,4106.97,4484.99,3603,4366.47,1228.938157
1.50466E+12,4366.49,4662.87,4335.26,4619.77,807.363726
1.50474E+12,4619.77,4788.59,4438.19,4691.61,500.429975
1.50483E+12,4691.66,4735.39,4028.93,4282.8,1132.255046
1.50492E+12,4282.8,4426.62,4150.06,4258.81,658.782952
1.505E+12,4258.81,4283,3801,4130.37,660.373275
1.50509E+12,4153.62,4334.43,4098.91,4208.47,699.989065
1.50517E+12,4208.6,4394.59,4040.8,4163.72,879.630319
1.50526E+12,4159.72,4165.38,3760,3944.69,913.462545
1.50535E+12,3944,3993,3165.13,3189.02,1665.021543
1.50543E+12,3188.01,3856,2817,3700,1968.866492
1.50552E+12,3674.01,3950,3470.66,3714.95,1297.563953
